date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:19	36275/36275	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2008:03:36%20GMT	http://rometheme.net/html/alife/	E:/web/wedding/rometheme.net/html/alife/index.html	(from )
20:11:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Mar%202020%2013:11:19%20GMT	http://rometheme.net/robots.txt		(from )
20:11:22	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2017%20Jul%202019%2015:12:42%20GMT	http://rometheme.net/html/alife/images/favicon.ico	E:/web/wedding/rometheme.net/html/alife/images/favicon.ico	(from http://rometheme.net/html/alife/)
20:11:22	1804/1804	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jul%202019%2015:11:38%20GMT	http://rometheme.net/html/alife/images/apple-touch-icon.png	E:/web/wedding/rometheme.net/html/alife/images/apple-touch-icon.png	(from http://rometheme.net/html/alife/)
20:11:23	2622/2622	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jul%202019%2015:11:38%20GMT	http://rometheme.net/html/alife/images/apple-touch-icon-72x72.png	E:/web/wedding/rometheme.net/html/alife/images/apple-touch-icon-72x72.png	(from http://rometheme.net/html/alife/)
20:11:23	4262/4262	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jul%202019%2015:11:38%20GMT	http://rometheme.net/html/alife/images/apple-touch-icon-114x114.png	E:/web/wedding/rometheme.net/html/alife/images/apple-touch-icon-114x114.png	(from http://rometheme.net/html/alife/)
20:11:28	31018/31018	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Feb%202019%2013:07:37%20GMT	http://rometheme.net/html/alife/css/vendor/font-awesome.min.css	E:/web/wedding/rometheme.net/html/alife/css/vendor/font-awesome.min.css	(from http://rometheme.net/html/alife/)
20:11:29	3351/3351	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Apr%202018%2023:22:10%20GMT	http://rometheme.net/html/alife/css/vendor/owl.carousel.min.css	E:/web/wedding/rometheme.net/html/alife/css/vendor/owl.carousel.min.css	(from http://rometheme.net/html/alife/)
20:11:29	1013/1013	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Apr%202018%2023:22:10%20GMT	http://rometheme.net/html/alife/css/vendor/owl.theme.default.min.css	E:/web/wedding/rometheme.net/html/alife/css/vendor/owl.theme.default.min.css	(from http://rometheme.net/html/alife/)
20:11:31	8163/8163	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/css/vendor/magnific-popup.css	E:/web/wedding/rometheme.net/html/alife/css/vendor/magnific-popup.css	(from http://rometheme.net/html/alife/)
20:11:35	53679/53679	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/css/vendor/animate.min.css	E:/web/wedding/rometheme.net/html/alife/css/vendor/animate.min.css	(from http://rometheme.net/html/alife/)
20:11:37	188998/188998	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Dec%202018%2003:47:12%20GMT	http://rometheme.net/html/alife/css/vendor/bootstrap.min.css	E:/web/wedding/rometheme.net/html/alife/css/vendor/bootstrap.min.css	(from http://rometheme.net/html/alife/)
20:11:38	15416/15416	---M--	200	added ('OK')	application/javascript	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/js/vendor/modernizr.min.js	E:/web/wedding/rometheme.net/html/alife/js/vendor/modernizr.min.js	(from http://rometheme.net/html/alife/)
20:11:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Mar%202020%2013:11:37%20GMT	http://rometheme.net/google_analytics_auto.js	E:/web/wedding/rometheme.net/google_analytics_auto.c.delayed	(from http://rometheme.net/html/alife/)
20:11:43	46768/46768	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202020%2013:11:41%20GMT	https://rometheme.net/google_analytics_auto.js	E:/web/wedding/rometheme.net/google_analytics_auto.d.delayed	(from http://rometheme.net/html/alife/)
20:11:44	36275/36275	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2008:03:36%20GMT	http://rometheme.net/html/alife/index.html	E:/web/wedding/rometheme.net/html/alife/index-2.html	(from http://rometheme.net/html/alife/)
20:11:44	5840/5840	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jul%202019%2015:11:38%20GMT	http://rometheme.net/html/alife/images/logo.png	E:/web/wedding/rometheme.net/html/alife/images/logo.png	(from http://rometheme.net/html/alife/)
20:11:45	145856/145856	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Aug%202019%2002:49:59%20GMT	http://rometheme.net/html/alife/css/style.css	E:/web/wedding/rometheme.net/html/alife/css/style.css	(from http://rometheme.net/html/alife/)
20:11:58	77880/77880	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202017%2009:51:48%20GMT	http://rometheme.net/html/alife/images/testimony-thumb-4.jpg	E:/web/wedding/rometheme.net/html/alife/images/testimony-thumb-4.jpg	(from http://rometheme.net/html/alife/)
20:12:06	120298/120298	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202017%2009:51:48%20GMT	http://rometheme.net/html/alife/images/testimony-thumb-5.jpg	E:/web/wedding/rometheme.net/html/alife/images/testimony-thumb-5.jpg	(from http://rometheme.net/html/alife/)
20:12:08	58181/58181	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:10:40%20GMT	http://rometheme.net/html/alife/images/story-img-1.jpg	E:/web/wedding/rometheme.net/html/alife/images/story-img-1.jpg	(from http://rometheme.net/html/alife/)
20:12:17	65982/65982	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:13:17%20GMT	http://rometheme.net/html/alife/images/story-img-2.jpg	E:/web/wedding/rometheme.net/html/alife/images/story-img-2.jpg	(from http://rometheme.net/html/alife/)
20:12:20	226719/226719	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jul%202019%2015:47:11%20GMT	http://rometheme.net/html/alife/images/home02.jpg	E:/web/wedding/rometheme.net/html/alife/images/home02.jpg	(from http://rometheme.net/html/alife/)
20:12:22	252854/252854	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jul%202019%2015:47:02%20GMT	http://rometheme.net/html/alife/images/home01.jpg	E:/web/wedding/rometheme.net/html/alife/images/home01.jpg	(from http://rometheme.net/html/alife/)
20:12:29	132148/132148	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:13:26%20GMT	http://rometheme.net/html/alife/images/story-img-3.jpg	E:/web/wedding/rometheme.net/html/alife/images/story-img-3.jpg	(from http://rometheme.net/html/alife/)
20:12:32	72274/72274	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202017%2009:51:48%20GMT	http://rometheme.net/html/alife/images/testimony-thumb-1.jpg	E:/web/wedding/rometheme.net/html/alife/images/testimony-thumb-1.jpg	(from http://rometheme.net/html/alife/)
20:12:34	102826/102826	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202017%2009:51:48%20GMT	http://rometheme.net/html/alife/images/testimony-thumb-6.jpg	E:/web/wedding/rometheme.net/html/alife/images/testimony-thumb-6.jpg	(from http://rometheme.net/html/alife/)
20:12:35	86206/86206	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202017%2009:51:48%20GMT	http://rometheme.net/html/alife/images/testimony-thumb-2.jpg	E:/web/wedding/rometheme.net/html/alife/images/testimony-thumb-2.jpg	(from http://rometheme.net/html/alife/)
20:12:42	79000/79000	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202017%2009:51:48%20GMT	http://rometheme.net/html/alife/images/testimony-thumb-3.jpg	E:/web/wedding/rometheme.net/html/alife/images/testimony-thumb-3.jpg	(from http://rometheme.net/html/alife/)
20:12:46	81220/81220	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:00:16%20GMT	http://rometheme.net/html/alife/images/gallery-img-1.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-1.jpg	(from http://rometheme.net/html/alife/)
20:12:47	79381/79381	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:00:39%20GMT	http://rometheme.net/html/alife/images/gallery-img-2.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-2.jpg	(from http://rometheme.net/html/alife/)
20:12:54	123197/123197	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:00:51%20GMT	http://rometheme.net/html/alife/images/gallery-img-3.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-3.jpg	(from http://rometheme.net/html/alife/)
20:12:59	121660/121660	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:01:03%20GMT	http://rometheme.net/html/alife/images/gallery-img-4.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-4.jpg	(from http://rometheme.net/html/alife/)
20:13:00	75096/75096	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:01:15%20GMT	http://rometheme.net/html/alife/images/gallery-img-5.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-5.jpg	(from http://rometheme.net/html/alife/)
20:13:02	54018/54018	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:01:44%20GMT	http://rometheme.net/html/alife/images/gallery-img-7.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-7.jpg	(from http://rometheme.net/html/alife/)
20:13:08	54550/54550	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:01:56%20GMT	http://rometheme.net/html/alife/images/gallery-img-8.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-8.jpg	(from http://rometheme.net/html/alife/)
20:13:09	132162/132162	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:01:33%20GMT	http://rometheme.net/html/alife/images/gallery-img-6.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-6.jpg	(from http://rometheme.net/html/alife/)
20:13:10	58181/58181	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:02:08%20GMT	http://rometheme.net/html/alife/images/gallery-img-9.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-9.jpg	(from http://rometheme.net/html/alife/)
20:13:12	65983/65983	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:02:21%20GMT	http://rometheme.net/html/alife/images/gallery-img-10.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-10.jpg	(from http://rometheme.net/html/alife/)
20:13:13	18547/18547	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2008:02:57%20GMT	http://rometheme.net/html/alife/news-single.html	E:/web/wedding/rometheme.net/html/alife/news-single.html	(from http://rometheme.net/html/alife/)
20:13:15	53388/53388	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:02:41%20GMT	http://rometheme.net/html/alife/images/gallery-img-11.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-11.jpg	(from http://rometheme.net/html/alife/)
20:13:21	52477/52477	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:19:01%20GMT	http://rometheme.net/html/alife/images/news-img-1.jpg	E:/web/wedding/rometheme.net/html/alife/images/news-img-1.jpg	(from http://rometheme.net/html/alife/)
20:13:22	38750/38750	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:19:49%20GMT	http://rometheme.net/html/alife/images/news-img-3.jpg	E:/web/wedding/rometheme.net/html/alife/images/news-img-3.jpg	(from http://rometheme.net/html/alife/)
20:13:22	77675/77675	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:02:53%20GMT	http://rometheme.net/html/alife/images/gallery-img-12.jpg	E:/web/wedding/rometheme.net/html/alife/images/gallery-img-12.jpg	(from http://rometheme.net/html/alife/)
20:13:23	9176/9176	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/images/client1.png	E:/web/wedding/rometheme.net/html/alife/images/client1.png	(from http://rometheme.net/html/alife/)
20:13:24	83360/83360	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Jul%202019%2015:19:24%20GMT	http://rometheme.net/html/alife/images/news-img-2.jpg	E:/web/wedding/rometheme.net/html/alife/images/news-img-2.jpg	(from http://rometheme.net/html/alife/)
20:13:24	6837/6837	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/images/client2.png	E:/web/wedding/rometheme.net/html/alife/images/client2.png	(from http://rometheme.net/html/alife/)
20:13:25	11802/11802	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/images/client3.png	E:/web/wedding/rometheme.net/html/alife/images/client3.png	(from http://rometheme.net/html/alife/)
20:13:27	5356/5356	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/images/client4.png	E:/web/wedding/rometheme.net/html/alife/images/client4.png	(from http://rometheme.net/html/alife/)
20:13:28	6778/6778	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/images/client5.png	E:/web/wedding/rometheme.net/html/alife/images/client5.png	(from http://rometheme.net/html/alife/)
20:13:28	5905/5905	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/images/client6.png	E:/web/wedding/rometheme.net/html/alife/images/client6.png	(from http://rometheme.net/html/alife/)
20:13:34	21146/21146	---M--	200	added ('OK')	application/javascript	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/js/vendor/jquery.magnific-popup.min.js	E:/web/wedding/rometheme.net/html/alife/js/vendor/jquery.magnific-popup.min.js	(from http://rometheme.net/html/alife/)
20:13:38	55775/55775	---M--	200	added ('OK')	application/javascript	date:Fri,%2021%20Dec%202018%2003:47:12%20GMT	http://rometheme.net/html/alife/js/vendor/bootstrap.min.js	E:/web/wedding/rometheme.net/html/alife/js/vendor/bootstrap.min.js	(from http://rometheme.net/html/alife/)
20:13:39	84349/84349	---M--	200	added ('OK')	application/javascript	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/js/vendor/jquery.min.js	E:/web/wedding/rometheme.net/html/alife/js/vendor/jquery.min.js	(from http://rometheme.net/html/alife/)
20:13:39	5559/5559	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Jun%202017%2013:08:02%20GMT	http://rometheme.net/html/alife/js/vendor/imagesloaded.pkgd.min.js	E:/web/wedding/rometheme.net/html/alife/js/vendor/imagesloaded.pkgd.min.js	(from http://rometheme.net/html/alife/)
20:13:39	37751/37751	---M--	200	added ('OK')	application/javascript	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/js/vendor/isotope.pkgd.min.js	E:/web/wedding/rometheme.net/html/alife/js/vendor/isotope.pkgd.min.js	(from http://rometheme.net/html/alife/)
20:13:40	1646/1646	---M--	200	added ('OK')	application/javascript	date:Tue,%2002%20Apr%202019%2005:46:50%20GMT	http://rometheme.net/html/alife/js/vendor/form-scripts.js	E:/web/wedding/rometheme.net/html/alife/js/vendor/form-scripts.js	(from http://rometheme.net/html/alife/)
20:13:40	6063/6063	---M--	200	added ('OK')	application/javascript	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/js/vendor/validator.min.js	E:/web/wedding/rometheme.net/html/alife/js/vendor/validator.min.js	(from http://rometheme.net/html/alife/)
20:13:41	89992/89992	---M--	200	added ('OK')	application/javascript	date:Thu,%2019%20Apr%202018%2023:22:10%20GMT	http://rometheme.net/html/alife/js/vendor/owl.carousel.js	E:/web/wedding/rometheme.net/html/alife/js/vendor/owl.carousel.js	(from http://rometheme.net/html/alife/)
20:13:41	6215/6215	---M--	200	added ('OK')	application/javascript	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/js/googlemap-setting.js	E:/web/wedding/rometheme.net/html/alife/js/googlemap-setting.js	(from http://rometheme.net/html/alife/)
20:13:41	7254/7254	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2016:04:08%20GMT	http://rometheme.net/html/alife/js/script.js	E:/web/wedding/rometheme.net/html/alife/js/script.js	(from http://rometheme.net/html/alife/)
20:13:55	77160/77160	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2022%20Dec%202016%2008:50:34%20GMT	http://rometheme.net/html/alife/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/web/wedding/rometheme.net/html/alife/fonts/fontawesome-webfont3e6e.woff2	(from http://rometheme.net/html/alife/css/vendor/font-awesome.min.css)
20:13:58	98024/98024	---M--	200	added ('OK')	x-font/woff	date:Thu,%2022%20Dec%202016%2008:50:34%20GMT	http://rometheme.net/html/alife/fonts/fontawesome-webfont.woff?v=4.7.0	E:/web/wedding/rometheme.net/html/alife/fonts/fontawesome-webfont3e6e.woff	(from http://rometheme.net/html/alife/css/vendor/font-awesome.min.css)
20:14:04	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Dec%202016%2008:50:34%20GMT	http://rometheme.net/html/alife/fonts/fontawesome-webfont.svg?v=4.7.0	E:/web/wedding/rometheme.net/html/alife/fonts/fontawesome-webfont3e6e.svg	(from http://rometheme.net/html/alife/css/vendor/font-awesome.min.css)
20:14:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Mar%202020%2013:14:06%20GMT	http://rometheme.net/html/alife/css/vendor/owl.video.play.png	E:/web/wedding/rometheme.net/html/alife/css/vendor/owl.video.play.41.delayed	(from http://rometheme.net/html/alife/css/vendor/owl.carousel.min.css)
20:14:08	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Dec%202016%2008:50:34%20GMT	http://rometheme.net/html/alife/fonts/fontawesome-webfont.eot?v=4.7.0	E:/web/wedding/rometheme.net/html/alife/fonts/fontawesome-webfont3e6e.eot	(from http://rometheme.net/html/alife/css/vendor/font-awesome.min.css)
20:14:09	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Dec%202016%2008:50:34%20GMT	http://rometheme.net/html/alife/fonts/fontawesome-webfont.eot?	E:/web/wedding/rometheme.net/html/alife/fonts/fontawesome-webfontd41d.eot	(from http://rometheme.net/html/alife/css/vendor/font-awesome.min.css)
20:14:12	48253/48253	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202020%2013:14:09%20GMT	https://rometheme.net/html/alife/css/vendor/owl.video.play.png	E:/web/wedding/rometheme.net/html/alife/css/vendor/owl.video.play.42.delayed	(from http://rometheme.net/html/alife/css/vendor/owl.carousel.min.css)
20:14:13	5136/5136	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2002%20Feb%202019%2007:38:36%20GMT	http://rometheme.net/html/alife/fonts/sas-webfont.eot?51534236	E:/web/wedding/rometheme.net/html/alife/fonts/sas-webfontc56b.eot	(from http://rometheme.net/html/alife/css/style.css)
20:14:14	2160/2160	---M--	200	added ('OK')	application/font-woff2	date:Sat,%2002%20Feb%202019%2007:38:36%20GMT	http://rometheme.net/html/alife/fonts/sas-webfont.woff2?51534236	E:/web/wedding/rometheme.net/html/alife/fonts/sas-webfontc56b.woff2	(from http://rometheme.net/html/alife/css/style.css)
20:14:14	165548/165548	---M--	200	added ('OK')	x-font/ttf	date:Thu,%2022%20Dec%202016%2008:50:34%20GMT	http://rometheme.net/html/alife/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/web/wedding/rometheme.net/html/alife/fonts/fontawesome-webfont3e6e.ttf	(from http://rometheme.net/html/alife/css/vendor/font-awesome.min.css)
20:14:14	2780/2780	---M--	200	added ('OK')	x-font/woff	date:Sat,%2002%20Feb%202019%2007:38:36%20GMT	http://rometheme.net/html/alife/fonts/sas-webfont.woff?51534236	E:/web/wedding/rometheme.net/html/alife/fonts/sas-webfontc56b.woff	(from http://rometheme.net/html/alife/css/style.css)
20:14:15	4956/4956	---M--	200	added ('OK')	x-font/ttf	date:Sat,%2002%20Feb%202019%2007:38:36%20GMT	http://rometheme.net/html/alife/fonts/sas-webfont.ttf?51534236	E:/web/wedding/rometheme.net/html/alife/fonts/sas-webfontc56b.ttf	(from http://rometheme.net/html/alife/css/style.css)
20:14:15	765/765	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2002%20Feb%202019%2007:38:36%20GMT	http://rometheme.net/html/alife/fonts/sas-webfont.svg?51534236	E:/web/wedding/rometheme.net/html/alife/fonts/sas-webfontc56b.svg	(from http://rometheme.net/html/alife/css/style.css)
20:14:15	562/562	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/images/cd-top-arrow.svg	E:/web/wedding/rometheme.net/html/alife/images/cd-top-arrow.svg	(from http://rometheme.net/html/alife/css/style.css)
20:14:16	667/667	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2015%20Jan%202019%2006:51:31%20GMT	http://rometheme.net/html/alife/images/cd-icon-controller.svg	E:/web/wedding/rometheme.net/html/alife/images/cd-icon-controller.svg	(from http://rometheme.net/html/alife/css/style.css)
20:14:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Mar%202020%2013:14:17%20GMT	http://rometheme.net/html/alife/page-news-single.html	E:/web/wedding/rometheme.net/html/alife/page-news-single.html	(from http://rometheme.net/html/alife/news-single.html)
20:14:22	48243/48243	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202020%2013:14:20%20GMT	https://rometheme.net/html/alife/page-news-single.html	E:/web/wedding/rometheme.net/html/alife/page-news-single.4b.delayed	(from http://rometheme.net/html/alife/news-single.html)
20:14:26	111254/111254	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Mar%202019%2003:05:10%20GMT	http://rometheme.net/html/alife/images/news-preview-img.jpg	E:/web/wedding/rometheme.net/html/alife/images/news-preview-img.jpg	(from http://rometheme.net/html/alife/news-single.html)
20:14:27	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2021%20Mar%202020%2013:14:24%20GMT	https://rometheme.net/robots.txt		(from http://rometheme.net/html/alife/news-single.html)
